timestamp,gx,gy,gz
1726357515.283656,-3.66,21.42,-10.38
1726357040.8202977,-97.84,-96.19,967.16
1726357274.6543665,-17.58,-16.6,16.97
1726357155.1711998,-329.16,400.76,270.26
1726357324.6523564,-352.66,-449.95,-772.28
1726357144.8915968,-1691.35,-291.14,632.02
1726357376.6266568,147.83,-997.5,-619.08
1726357161.7146478,108.83,-239.2,49.01
1726357026.7417357,-5.98,-698.55,-201.23
1726357167.5798092,83.62,-78.92,368.47
1726357337.5807564,5.43,43.33,-58.11
1726357342.8746085,169.07,-521.85,396.3
1726357112.786529,-748.6,363.71,607.85
1726356996.0522122,-2.26,-1.59,1.04
1726356879.584773,-582.21,542.97,-540.41
1726357266.0929446,-551.82,158.63,167.6
1726357197.3419385,193.48,-167.79,578.0
1726357117.275864,-155.88,-332.52,511.66
1726357296.8845687,137.39,-16.66,138.43
1726357468.9441316,-109.01,0.73,7.75
1726357072.870558,540.04,-491.27,-265.26
1726357469.1972945,-144.96,-16.78,-61.89
1726357152.700767,-55.05,-437.5,421.33
1726357080.8887289,-15.38,226.56,-64.03
1726357124.8349514,-48.03,346.62,226.38
1726357450.4259937,26.31,61.83,67.75
1726357137.780251,183.9,282.35,-22.28
1726357126.5538995,-132.69,-69.34,-560.55
1726357039.5848513,218.2,-196.29,-630.49
1726356876.1472602,-174.32,469.79,-422.3
1726357484.9488523,-129.7,-180.54,52.43
1726357071.60791,-381.35,-105.29,-414.55
1726357442.780923,-0.49,-4.03,-8.24
1726357021.6124382,-150.27,51.09,-108.52
1726357478.6591396,11.9,-5.13,-60.06
1726357354.94936,85.33,-9.22,59.94
1726357225.250168,6.96,-99.37,-224.0
1726357279.4547362,77.76,-174.87,103.58
1726357258.2508738,205.26,-398.8,-745.54
1726356877.209261,-168.21,581.42,-689.7
1726357398.3412971,22.71,34.97,-43.09
1726357181.8997924,11.17,357.54,-60.06
1726356827.269431,-0.24,-0.37,0.06
1726357030.3064404,-1431.4,-508.06,-597.66
1726356868.65781,320.8,-140.99,663.51
1726357238.8369677,-292.54,487.98,392.15
1726357412.8514094,-26.37,-302.25,316.22
1726357449.8954816,4.46,17.33,6.47
1726357020.533459,95.28,130.49,-3.72
1726357159.7697704,-3.36,18.25,-70.68
1726357355.6562712,19.04,-66.96,-60.97
1726357387.813355,122.07,-540.22,104.86
1726357020.0288625,143.74,106.26,-19.35
1726357173.957595,70.31,-111.82,163.94
1726357475.4096162,66.16,-75.93,-10.86
1726357293.1788456,60.67,196.78,-322.75
1726357489.0593884,38.57,-223.63,-11.11
1726357259.5332992,-229.8,148.01,684.94
1726357120.871606,-107.06,193.42,16.72
1726357477.3595922,19.23,25.45,-19.71
1726356883.4534695,169.31,193.18,140.81
1726357241.0849638,123.41,-180.48,-110.9
1726357161.2363143,-104.19,159.3,58.96
1726356993.9492352,-0.85,-0.49,0.24
1726357395.9029553,-206.6,798.95,-268.31
1726357339.6546793,-29.17,-43.27,12.7
1726357260.500177,-244.38,347.72,330.99
1726357024.106382,222.05,772.22,-169.86
1726357083.1478355,-486.63,570.31,57.74
1726357509.0276122,-0.49,-0.12,0.92
1726357401.764464,251.65,96.13,-518.07
1726357382.7619317,164.37,-125.12,306.7
1726357421.1912544,-10.68,37.96,-45.41
1726356837.694016,-0.18,-0.31,0.18
1726357294.42007,-89.78,-49.87,-54.75
1726357460.747315,-250.37,233.46,75.81
1726357106.126134,108.64,1.4,775.33
1726357212.3897135,183.23,400.33,117.43
1726357003.5398667,-0.61,-0.55,0.43
1726357052.1070752,416.56,-280.21,-652.4
1726357439.5459058,-0.18,0.0,-3.05
1726357183.4359725,17.58,295.1,-297.61
1726356871.0628812,-157.17,793.7,283.87
1726357437.034222,5.98,3.17,1.28
1726357249.6943948,34.67,-30.64,-30.4
1726357084.437493,372.01,-187.26,-682.86
1726357237.8295634,178.16,-237.55,-393.49
1726357505.89719,-0.24,-0.37,0.12
1726357030.039203,-558.53,-960.21,-103.58
1726357356.6946218,139.04,-120.73,111.27
1726357391.7387965,-109.5,992.07,-96.01
1726356875.1230607,-624.63,-25.09,-802.98
1726357082.8710077,-226.87,-253.91,-437.81
1726357131.4106932,52.06,-297.0,428.34
1726357066.2547474,263.85,-203.06,-395.63
1726357001.2795303,-1.77,-1.53,-0.55
1726357037.3659177,-721.25,616.58,643.68
1726357041.784994,-1386.6,-100.28,-113.89
1726357217.1507869,12.02,-109.99,-70.25
1726357439.3190267,-0.73,0.18,-0.67
1726357098.0262709,208.07,-69.64,-208.56
1726357090.112709,-231.26,-193.73,42.3
1726357093.8511972,-268.07,-64.51,-317.81
1726357358.804636,-149.96,26.92,216.37
1726357272.864862,38.02,-645.94,408.02
1726357237.3515716,-161.99,80.08,328.31
1726357078.58127,-102.78,-114.5,-532.04
1726357383.3163683,-86.3,735.11,-389.89
1726357156.1205862,220.7,-134.09,-507.93
1726357183.9387605,123.78,-237.3,388.06
1726357373.4233048,261.54,142.03,78.12
1726357119.0571802,-339.36,216.61,475.65
1726357358.08055,-12.63,-160.71,-48.46
1726357407.8123276,212.83,-440.92,-88.99
1726357156.5878627,18.01,-146.97,-356.2
